date,open,high,low,close,volume
2024-07-08 14:00:00,697.072,697.170,693.018,693.018,241935400
2024-07-08 15:00:00,692.962,694.228,689.853,692.488,326518500
2024-07-09 10:30:00,689.786,698.810,689.421,691.594,634126600
2024-07-09 11:30:00,691.587,701.742,691.475,701.645,355512100
2024-07-09 14:00:00,701.906,710.895,700.076,710.207,476623100
2024-07-09 15:00:00,710.192,712.191,708.261,709.888,433399200
2024-07-10 10:30:00,707.194,715.498,706.793,714.249,714340300
2024-07-10 11:30:00,714.152,715.712,709.386,712.912,295036000
2024-07-10 14:00:00,713.019,713.562,708.869,709.284,219207400
2024-07-10 15:00:00,709.263,711.347,708.335,710.369,273352900
2024-07-11 10:30:00,722.043,725.018,715.080,721.707,879678300
2024-07-11 11:30:00,721.683,722.124,712.003,716.237,351769000
2024-07-11 14:00:00,716.541,718.802,714.984,717.349,264316200
2024-07-11 15:00:00,717.347,718.663,716.682,718.040,348216100
2024-07-12 10:30:00,713.312,716.838,711.161,714.880,678377700
2024-07-12 11:30:00,714.841,716.156,712.985,714.157,253250600
2024-07-12 14:00:00,714.151,721.461,713.971,720.463,270350200
2024-07-12 15:00:00,720.466,720.556,717.359,718.370,310110500
2024-07-15 10:30:00,716.475,720.423,712.790,713.226,717483500
2024-07-15 11:30:00,713.226,718.055,713.226,716.809,224429800
2024-07-15 14:00:00,716.954,718.105,716.102,716.345,198106400
2024-07-15 15:00:00,716.369,716.828,714.410,715.864,275767700
2024-07-16 10:30:00,712.758,718.991,711.713,717.089,579644700
2024-07-16 11:30:00,717.172,723.427,716.672,722.590,266329500
2024-07-16 14:00:00,722.750,732.685,722.167,730.558,382794600
2024-07-16 15:00:00,730.719,732.541,728.946,732.064,325331700
2024-07-17 10:30:00,733.073,735.713,729.400,733.643,665749200
2024-07-17 11:30:00,733.658,734.973,730.080,731.866,254551900
2024-07-17 14:00:00,731.756,734.668,731.040,732.851,250538800
2024-07-17 15:00:00,732.842,733.878,729.002,729.002,348877800
2024-07-18 10:30:00,721.765,725.932,718.524,721.823,776498000
2024-07-18 11:30:00,721.730,726.660,718.939,726.637,286536700
2024-07-18 14:00:00,727.262,738.730,727.165,736.442,403847500
2024-07-18 15:00:00,736.518,737.542,732.671,735.410,309186300
2024-07-19 10:30:00,731.409,745.456,731.400,741.041,790423500
2024-07-19 11:30:00,740.988,750.313,740.591,748.397,440757700
2024-07-19 14:00:00,748.429,750.202,744.539,747.198,301752900
2024-07-19 15:00:00,747.193,751.202,747.000,749.471,359871200
2024-07-22 10:30:00,749.316,756.683,749.316,751.931,814538100
2024-07-22 11:30:00,751.848,753.758,750.143,752.507,293397800
2024-07-22 14:00:00,752.528,752.600,747.542,747.611,270511500
2024-07-22 15:00:00,747.813,754.397,747.382,752.001,323738000
2024-07-23 10:30:00,750.129,750.129,736.462,736.780,642099500
2024-07-23 11:30:00,736.793,737.812,733.563,734.100,247083000
2024-07-23 14:00:00,733.753,735.064,731.759,732.478,271966300
2024-07-23 15:00:00,732.504,732.561,720.881,721.108,464891100
2024-07-24 10:30:00,720.470,726.312,719.104,720.040,670221100
2024-07-24 11:30:00,720.092,722.712,716.208,720.681,319283000
2024-07-24 14:00:00,720.847,721.142,714.623,717.373,250851600
2024-07-24 15:00:00,717.474,717.704,712.329,713.321,311842900
2024-07-25 10:30:00,708.936,716.313,708.936,711.884,616325500
2024-07-25 11:30:00,711.784,722.602,711.250,721.413,330466300
2024-07-25 14:00:00,721.420,721.533,714.144,716.869,207382500
2024-07-25 15:00:00,717.010,718.069,713.639,713.883,249013900
2024-07-26 10:30:00,713.893,718.565,710.724,710.986,554036100
2024-07-26 11:30:00,710.968,723.489,710.330,719.952,302554100
2024-07-26 14:00:00,719.963,721.918,718.199,719.165,225053600
2024-07-26 15:00:00,719.152,719.971,716.146,719.870,265901000
2024-07-29 10:30:00,719.554,721.221,716.449,717.327,567834000
2024-07-29 11:30:00,717.322,717.772,713.803,716.592,216302900
2024-07-29 14:00:00,716.699,717.051,712.147,712.156,261735600
2024-07-29 15:00:00,712.120,712.595,707.597,707.597,283386800
2024-07-30 10:30:00,706.856,706.856,699.904,703.775,517241700
2024-07-30 11:30:00,703.721,712.155,703.707,707.682,299172300
2024-07-30 14:00:00,707.726,709.060,705.053,705.349,217428500
2024-07-30 15:00:00,705.338,711.003,704.607,710.015,273111700
2024-07-31 10:30:00,707.660,728.161,707.204,727.813,739767000
2024-07-31 11:30:00,727.885,737.651,727.885,737.379,464505300
2024-07-31 14:00:00,737.818,741.618,736.956,741.208,437830600
2024-07-31 15:00:00,741.205,744.005,739.684,743.374,416515800
2024-08-01 10:30:00,745.964,748.768,739.342,739.576,830000000
2024-08-01 11:30:00,739.644,741.275,735.576,737.177,314235900
2024-08-01 14:00:00,737.264,746.366,737.264,743.898,371579100
2024-08-01 15:00:00,743.925,743.925,738.777,738.871,313625600
2024-08-02 10:30:00,730.652,742.232,730.352,733.777,689286000
2024-08-02 11:30:00,734.250,734.880,730.605,731.986,292226900
2024-08-02 14:00:00,731.990,733.861,727.086,727.384,306155700
2024-08-02 15:00:00,727.415,728.260,723.556,725.660,370974200
2024-08-05 10:30:00,719.156,730.285,715.438,716.925,738363900
2024-08-05 11:30:00,716.892,722.324,715.455,720.245,251652800
2024-08-05 14:00:00,720.268,720.775,706.103,706.749,491748000
2024-08-05 15:00:00,706.502,714.076,704.263,704.296,398489300
2024-08-06 10:30:00,714.489,717.189,706.612,710.002,668637700
2024-08-06 11:30:00,710.093,714.631,708.763,710.040,255764000
2024-08-06 14:00:00,710.278,710.278,705.020,705.668,253328400
2024-08-06 15:00:00,705.676,714.264,705.316,713.864,293776700
2024-08-07 10:30:00,712.736,716.255,708.457,712.190,544344100
2024-08-07 11:30:00,712.194,714.968,710.940,711.438,266697300
2024-08-07 14:00:00,711.493,713.745,710.779,711.148,206788900
2024-08-07 15:00:00,711.104,711.343,706.829,707.587,271861200
