index_name,date,close,high,low,bottom_structure,top_structure,bottom_divergence
上证指数,2018-01-02,3348.326,3349.053,3314.031,0,0,0
上证指数,2018-01-03,3369.108,3379.915,3345.289,0,0,0
上证指数,2018-01-04,3385.71,3392.826,3365.295,0,0,0
上证指数,2018-01-05,3391.75,3402.069,3380.245,0,0,0
上证指数,2018-01-08,3409.48,3412.731,3384.559,0,0,0
上证指数,2018-01-09,3413.9,3417.228,3403.587,0,0,0
上证指数,2018-01-10,3421.834,3430.214,3398.842,0,0,0
上证指数,2018-01-11,3425.345,3426.483,3405.639,0,0,0
上证指数,2018-01-12,3428.941,3435.424,3417.98,0,0,0
上证指数,2018-01-15,3410.488,3442.501,3402.312,0,0,0
上证指数,2018-01-16,3436.594,3437.583,3401.961,0,0,0
上证指数,2018-01-17,3444.671,3465.205,3430.511,0,0,0
上证指数,2018-01-18,3474.754,3476.546,3448.789,0,0,0
上证指数,2018-01-19,3487.864,3498.434,3474.292,0,0,0
上证指数,2018-01-22,3501.362,3503.386,3475.673,0,0,0
上证指数,2018-01-23,3546.505,3547.222,3504.344,0,0,0
上证指数,2018-01-24,3559.465,3569.489,3527.112,0,0,0
上证指数,2018-01-25,3548.307,3571.481,3528.035,0,0,0
上证指数,2018-01-26,3558.129,3574.905,3534.195,0,0,0
上证指数,2018-01-29,3523.001,3587.032,3510.269,0,0,0
上证指数,2018-01-30,3488.009,3523.051,3484.656,0,0,0
上证指数,2018-01-31,3480.833,3495.453,3454.726,0,0,0
上证指数,2018-02-01,3446.98,3495.093,3424.419,0,0,0
上证指数,2018-02-02,3462.081,3463.164,3388.86,0,0,0
上证指数,2018-02-05,3487.497,3487.721,3406.241,0,0,0
上证指数,2018-02-06,3370.652,3440.124,3364.216,0,0,0
上证指数,2018-02-07,3309.26,3425.538,3304.007,0,0,0
上证指数,2018-02-08,3262.05,3307.162,3225.712,0,0,0
上证指数,2018-02-09,3129.851,3180.11,3062.743,0,0,0
上证指数,2018-02-12,3154.125,3168.126,3113.605,0,0,0
上证指数,2018-02-13,3184.959,3219.217,3176.107,0,0,0
上证指数,2018-02-14,3199.159,3203.497,3171.384,0,0,0
上证指数,2018-02-22,3268.559,3269.916,3234.115,0,0,0
上证指数,2018-02-23,3289.024,3294.134,3258.488,0,0,0
上证指数,2018-02-26,3329.574,3335.986,3281.615,0,0,0
上证指数,2018-02-27,3292.068,3328.672,3284.629,0,0,0
上证指数,2018-02-28,3259.408,3277.832,3239.844,0,0,0
上证指数,2018-03-01,3273.755,3280.149,3228.585,0,0,0
上证指数,2018-03-02,3254.528,3269.938,3242.267,0,0,0
上证指数,2018-03-05,3256.926,3269.4,3236.717,0,0,0
上证指数,2018-03-06,3289.642,3290.253,3243.654,0,0,0
上证指数,2018-03-07,3271.668,3308.406,3264.764,0,0,0
上证指数,2018-03-08,3288.406,3289.497,3261.552,0,0,0
上证指数,2018-03-09,3307.166,3309.715,3283.559,0,0,0
上证指数,2018-03-12,3326.699,3333.561,3313.555,0,0,0
上证指数,2018-03-13,3310.239,3333.875,3307.376,0,0,0
上证指数,2018-03-14,3291.382,3304.979,3287.356,0,0,0
上证指数,2018-03-15,3291.112,3297.098,3273.201,0,0,0
上证指数,2018-03-16,3269.882,3300.565,3269.283,0,0,0
上证指数,2018-03-19,3279.252,3280.567,3251.047,0,0,0
上证指数,2018-03-20,3290.64,3292.574,3252.433,0,0,0
上证指数,2018-03-21,3280.952,3314.209,3268.878,0,0,0
上证指数,2018-03-22,3263.48,3288.797,3242.762,0,0,0
上证指数,2018-03-23,3152.761,3188.235,3110.664,0,0,0
上证指数,2018-03-26,3133.722,3134.276,3091.458,0,0,0
上证指数,2018-03-27,3166.649,3172.778,3143.57,0,0,0
上证指数,2018-03-28,3122.29,3165.213,3117.534,0,0,0
上证指数,2018-03-29,3160.531,3174.509,3098.247,0,0,0
上证指数,2018-03-30,3168.897,3177.721,3152.889,0,0,0
上证指数,2018-04-02,3163.179,3192.34,3159.986,0,0,0
上证指数,2018-04-03,3136.633,3144.332,3119.132,0,0,0
上证指数,2018-04-04,3131.111,3163.34,3128.867,0,0,0
上证指数,2018-04-09,3138.294,3146.093,3110.303,0,0,0
上证指数,2018-04-10,3190.322,3190.649,3139.081,0,0,0
上证指数,2018-04-11,3208.082,3220.845,3191.587,0,0,0
上证指数,2018-04-12,3180.158,3205.252,3177.049,0,0,0
上证指数,2018-04-13,3159.052,3197.896,3155.506,0,0,0
上证指数,2018-04-16,3110.649,3153.106,3096.1,0,0,0
上证指数,2018-04-17,3066.797,3118.76,3064.028,0,0,0
上证指数,2018-04-18,3091.399,3096.889,3041.625,0,0,1
上证指数,2018-04-19,3117.376,3127.439,3090.287,1,0,0
上证指数,2018-04-20,3071.543,3111.171,3065.921,0,0,0
上证指数,2018-04-23,3068.012,3085.057,3045.937,0,0,0
上证指数,2018-04-24,3128.927,3136.04,3069.746,0,0,0
上证指数,2018-04-25,3117.974,3122.908,3107.001,0,0,0
上证指数,2018-04-26,3075.03,3121.933,3067.929,0,0,0
上证指数,2018-04-27,3082.232,3088.035,3049.914,0,0,0
上证指数,2018-05-02,3081.177,3097.604,3064.763,0,0,0
上证指数,2018-05-03,3100.859,3105.66,3056.157,0,0,0
上证指数,2018-05-04,3091.033,3104.093,3086.785,0,0,0
上证指数,2018-05-07,3136.645,3136.836,3091.658,0,0,0
上证指数,2018-05-08,3161.498,3169.701,3134.062,0,0,0
上证指数,2018-05-09,3159.15,3165.373,3145.657,0,0,0
上证指数,2018-05-10,3174.413,3176.138,3155.533,0,0,0
上证指数,2018-05-11,3163.263,3180.756,3162.212,0,0,0
上证指数,2018-05-14,3174.032,3183.816,3163.476,0,0,0
上证指数,2018-05-15,3192.118,3192.807,3164.518,0,0,0
上证指数,2018-05-16,3169.565,3191.948,3166.811,0,0,0
上证指数,2018-05-17,3154.283,3172.766,3148.621,0,0,0
上证指数,2018-05-18,3193.303,3193.453,3144.776,0,0,0
上证指数,2018-05-21,3213.84,3219.74,3203.336,0,0,0
上证指数,2018-05-22,3214.35,3214.589,3192.228,0,0,0
上证指数,2018-05-23,3168.964,3205.437,3168.964,0,0,0
上证指数,2018-05-24,3154.651,3173.531,3152.069,0,0,0
上证指数,2018-05-25,3141.303,3156.726,3131.068,0,0,0
上证指数,2018-05-28,3135.082,3149.665,3115.959,0,0,0
上证指数,2018-05-29,3120.461,3143.208,3112.153,0,0,0
上证指数,2018-05-30,3041.443,3085.397,3041.0,0,0,1
上证指数,2018-05-31,3095.474,3098.076,3054.269,1,0,0
上证指数,2018-06-01,3075.137,3102.088,3059.786,0,0,0
上证指数,2018-06-04,3091.191,3098.402,3076.994,0,0,0
上证指数,2018-06-05,3114.206,3114.769,3080.046,0,0,0
上证指数,2018-06-06,3115.18,3117.525,3103.533,0,0,0
上证指数,2018-06-07,3109.499,3128.715,3105.578,0,0,0
上证指数,2018-06-08,3067.148,3100.685,3053.288,0,0,0
上证指数,2018-06-11,3052.783,3063.61,3037.914,0,0,1
上证指数,2018-06-12,3079.802,3081.447,3034.101,1,0,1
上证指数,2018-06-13,3049.797,3071.464,3044.12,0,0,0
上证指数,2018-06-14,3044.16,3066.047,3032.406,0,0,1
上证指数,2018-06-15,3021.901,3048.797,3008.732,0,0,1
上证指数,2018-06-19,2907.822,2984.971,2871.355,0,0,0
上证指数,2018-06-20,2915.731,2925.561,2872.163,0,0,0
上证指数,2018-06-21,2875.81,2940.586,2872.619,0,0,0
上证指数,2018-06-22,2889.76,2891.969,2837.144,0,0,0
上证指数,2018-06-25,2859.336,2908.624,2857.871,0,0,0
上证指数,2018-06-26,2844.508,2850.24,2803.785,0,0,0
上证指数,2018-06-27,2813.178,2854.258,2798.8,0,0,0
上证指数,2018-06-28,2786.897,2825.987,2782.446,0,0,0
上证指数,2018-06-29,2847.418,2848.372,2782.381,1,0,1
上证指数,2018-07-02,2775.557,2845.68,2756.815,0,0,1
上证指数,2018-07-03,2786.888,2786.888,2722.449,1,0,1
上证指数,2018-07-04,2759.126,2793.179,2754.155,0,0,0
上证指数,2018-07-05,2733.882,2777.523,2727.94,0,0,0
上证指数,2018-07-06,2747.229,2768.874,2691.021,1,0,1
上证指数,2018-07-09,2815.11,2815.79,2752.447,0,0,0
上证指数,2018-07-10,2827.625,2828.493,2800.625,0,0,0
上证指数,2018-07-11,2777.771,2794.36,2752.435,0,0,0
上证指数,2018-07-12,2837.659,2844.193,2771.041,0,0,0
上证指数,2018-07-13,2831.184,2835.463,2818.848,0,0,0
上证指数,2018-07-16,2814.042,2837.509,2804.493,0,0,0
上证指数,2018-07-17,2798.126,2806.919,2774.762,0,0,0
上证指数,2018-07-18,2787.257,2818.395,2786.04,0,0,0
上证指数,2018-07-19,2772.545,2805.011,2764.486,0,0,0
上证指数,2018-07-20,2829.271,2837.862,2753.84,0,0,0
上证指数,2018-07-23,2859.542,2863.571,2809.616,0,0,0
上证指数,2018-07-24,2905.562,2911.465,2862.267,0,0,0
上证指数,2018-07-25,2903.647,2912.313,2894.039,0,0,0
上证指数,2018-07-26,2882.225,2915.297,2875.701,0,0,0
上证指数,2018-07-27,2873.594,2889.694,2864.11,0,0,0
上证指数,2018-07-30,2869.05,2896.011,2850.296,0,0,0
上证指数,2018-07-31,2876.401,2884.68,2854.32,0,0,0
上证指数,2018-08-01,2824.534,2897.4,2823.929,0,0,0
上证指数,2018-08-02,2768.024,2815.344,2726.483,0,0,0
上证指数,2018-08-03,2740.443,2777.657,2740.432,0,0,0
上证指数,2018-08-06,2705.157,2760.474,2692.322,0,0,0
上证指数,2018-08-07,2779.374,2779.374,2696.039,0,0,0
上证指数,2018-08-08,2744.07,2779.912,2741.067,0,0,0
上证指数,2018-08-09,2794.382,2801.659,2726.215,0,0,0
上证指数,2018-08-10,2795.31,2806.115,2777.506,0,0,0
上证指数,2018-08-13,2785.872,2789.798,2742.56,0,0,0
上证指数,2018-08-14,2780.965,2789.444,2766.569,0,0,0
上证指数,2018-08-15,2723.258,2777.703,2721.24,0,0,0
上证指数,2018-08-16,2705.192,2732.949,2672.741,0,0,1
上证指数,2018-08-17,2668.966,2730.333,2665.592,0,0,1
上证指数,2018-08-20,2698.466,2698.466,2653.112,1,0,1
上证指数,2018-08-21,2733.826,2739.173,2696.292,0,0,0
上证指数,2018-08-22,2714.608,2731.958,2709.062,0,0,0
上证指数,2018-08-23,2724.624,2736.01,2700.804,0,0,0
上证指数,2018-08-24,2729.431,2748.824,2705.324,0,0,0
上证指数,2018-08-27,2780.899,2780.899,2736.319,0,0,0
上证指数,2018-08-28,2777.981,2791.39,2769.401,0,0,0
上证指数,2018-08-29,2769.295,2778.539,2762.35,0,0,0
上证指数,2018-08-30,2737.737,2780.527,2736.346,0,0,0
上证指数,2018-08-31,2725.25,2744.631,2710.537,0,0,0
上证指数,2018-09-03,2720.734,2722.852,2692.364,0,0,0
上证指数,2018-09-04,2750.58,2756.607,2712.376,0,0,0
上证指数,2018-09-05,2704.337,2745.467,2704.337,0,0,0
上证指数,2018-09-06,2691.593,2719.406,2683.745,0,0,0
上证指数,2018-09-07,2702.301,2728.546,2683.719,0,0,0
上证指数,2018-09-10,2669.485,2703.429,2667.317,0,0,0
上证指数,2018-09-11,2664.8,2680.573,2652.704,0,0,1
上证指数,2018-09-12,2656.11,2672.074,2647.17,0,0,1
上证指数,2018-09-13,2686.578,2689.062,2653.189,1,0,0
上证指数,2018-09-14,2681.643,2694.92,2675.29,0,0,0
上证指数,2018-09-17,2651.789,2671.291,2647.915,0,0,0
上证指数,2018-09-18,2699.95,2700.193,2644.296,1,0,1
上证指数,2018-09-19,2730.85,2746.08,2690.994,0,0,0
上证指数,2018-09-20,2729.244,2743.965,2724.084,0,0,0
上证指数,2018-09-21,2797.485,2797.485,2722.032,0,0,0
上证指数,2018-09-25,2781.139,2790.032,2771.16,0,0,0
上证指数,2018-09-26,2806.813,2827.341,2783.342,0,0,0
上证指数,2018-09-27,2791.775,2810.506,2786.322,0,0,0
上证指数,2018-09-28,2821.35,2821.755,2791.836,0,0,0
上证指数,2018-10-08,2716.51,2771.938,2710.178,0,0,0
上证指数,2018-10-09,2721.013,2734.314,2711.197,0,0,0
上证指数,2018-10-10,2725.837,2743.548,2703.063,0,0,0
上证指数,2018-10-11,2583.458,2661.286,2560.316,0,0,1
上证指数,2018-10-12,2606.913,2615.917,2536.665,0,0,1
上证指数,2018-10-15,2568.098,2611.969,2564.738,0,0,0
上证指数,2018-10-16,2546.33,2597.715,2536.441,0,0,0
上证指数,2018-10-17,2561.614,2582.549,2517.573,0,0,0
上证指数,2018-10-18,2486.419,2544.911,2485.619,0,0,0
上证指数,2018-10-19,2550.465,2553.387,2449.197,1,0,1
上证指数,2018-10-22,2654.876,2675.406,2565.644,0,0,0
上证指数,2018-10-23,2594.826,2659.812,2583.261,0,0,0
上证指数,2018-10-24,2603.295,2640.402,2577.773,0,0,0
上证指数,2018-10-25,2603.8,2606.101,2531.535,0,0,0
上证指数,2018-10-26,2598.847,2626.116,2580.845,0,0,0
上证指数,2018-10-29,2542.103,2595.537,2529.188,0,0,0
上证指数,2018-10-30,2568.048,2586.919,2521.784,0,0,0
上证指数,2018-10-31,2602.783,2612.922,2567.027,0,0,0
上证指数,2018-11-01,2606.237,2636.799,2603.651,0,0,0
上证指数,2018-11-02,2676.476,2676.476,2628.87,0,0,0
上证指数,2018-11-05,2665.431,2673.188,2639.271,0,0,0
上证指数,2018-11-06,2659.356,2660.863,2635.321,0,0,0
上证指数,2018-11-07,2641.342,2675.677,2639.246,0,0,0
上证指数,2018-11-08,2635.632,2662.369,2632.301,0,0,0
上证指数,2018-11-09,2598.872,2621.238,2598.161,0,0,0
上证指数,2018-11-12,2630.52,2631.17,2590.211,0,0,0
上证指数,2018-11-13,2654.88,2666.485,2597.348,0,0,0
上证指数,2018-11-14,2632.243,2658.307,2627.957,0,0,0
上证指数,2018-11-15,2668.17,2668.17,2631.888,0,0,0
上证指数,2018-11-16,2679.11,2695.569,2657.034,0,0,0
上证指数,2018-11-19,2703.512,2703.512,2674.178,0,0,0
上证指数,2018-11-20,2645.855,2690.83,2643.359,0,0,0
