date,open,high,low,close,volume
2025-07-04 15:00:00,5935.171,5935.390,5908.143,5911.435,14172578001661271100
2025-07-07 10:30:00,5901.402,5910.656,5891.730,5906.341,44268401001722845700
2025-07-07 12:00:00,5906.703,5910.102,5894.209,5895.927,1430660900902967900
2025-07-07 13:30:00,5896.907,5899.664,5889.602,5899.055,1307216600
2025-07-07 15:00:00,5898.860,5910.804,5893.791,5900.406,107252720011508075001706870300
2025-07-08 10:30:00,5903.102,5952.183,5903.102,5939.577,42518324002238193400
2025-07-08 12:00:00,5939.545,5971.759,5934.673,5965.078,13583578001801716800
2025-07-08 13:30:00,5966.338,5975.003,5962.521,5964.470,2061668200
2025-07-08 15:00:00,5964.335,5979.627,5962.703,5977.744,143176130015353744002189209900
2025-07-09 10:30:00,5980.645,5992.135,5972.959,5988.751,50763168001973600500
2025-07-09 12:00:00,5988.596,5989.381,5960.853,5970.415,15300938001677920800
2025-07-09 13:30:00,5970.653,5980.952,5970.290,5976.725,1348878000
2025-07-09 15:00:00,5976.631,5978.534,5940.176,5953.487,123625160014685776002179801100
2025-07-10 10:30:00,5950.966,5966.892,5942.290,5965.931,47155989002264976800
2025-07-10 12:00:00,5966.493,5968.490,5945.646,5958.225,19824289001322052800
2025-07-10 13:30:00,5959.133,5975.476,5959.133,5972.400,1723974000
2025-07-10 15:00:00,5972.239,6000.686,5971.573,5983.051,149329900021304226001991507700
2025-07-11 10:30:00,5985.824,6021.909,5963.257,6013.477,54122786003586196600
2025-07-11 12:00:00,6013.549,6045.057,6005.713,6045.057,24847972001964199000
2025-07-11 13:30:00,6046.313,6057.623,6035.999,6040.933,2820864000
2025-07-11 15:00:00,6040.797,6054.100,6016.250,6027.079,193238410014981067002537483600
2025-07-14 10:30:00,6033.178,6042.886,6024.296,6026.360,71974726002755318200
2025-07-14 12:00:00,6026.189,6030.343,6015.376,6017.027,17740678001506074700
2025-07-14 13:30:00,6017.304,6026.310,6011.687,6026.088,1566685200
2025-07-14 15:00:00,6026.049,6033.906,6020.859,6020.859,101675850011072406002004126800
2025-07-15 10:30:00,6018.627,6049.787,5995.895,6011.154,58110263003576427000
2025-07-15 12:00:00,6011.939,6026.806,5973.797,5977.983,17257223001922448500
2025-07-15 13:30:00,5977.630,6001.516,5977.003,5992.461,1516903500
2025-07-15 15:00:00,5992.251,6023.786,5992.251,6018.758,116517800012741973001981720500
2025-07-16 10:30:00,6019.577,6061.199,6015.813,6033.593,46209231002130821100
2025-07-16 12:00:00,6033.181,6033.311,6017.551,6032.059,1481417900959310100
2025-07-16 13:30:00,6032.386,6032.426,6018.442,6025.686,1298406500
2025-07-16 15:00:00,6025.688,6032.158,5997.163,6017.195,157661040012298260001563691100
2025-07-17 10:30:00,6013.714,6055.207,6013.044,6040.903,36093100002251800200
2025-07-17 12:00:00,6041.154,6057.346,6038.373,6054.824,13599031001289714900
2025-07-17 13:30:00,6055.620,6064.898,6052.771,6063.202,1604824500
2025-07-17 15:00:00,6063.343,6082.464,6061.168,6082.464,150094470013507631002002005300
2025-07-18 10:30:00,6092.230,6112.110,6081.558,6096.910,46509719002301669400
2025-07-18 12:00:00,6097.201,6103.575,6089.115,6092.872,15533113001137008700
2025-07-18 13:30:00,6093.198,6093.198,6076.853,6087.121,1481215700
2025-07-18 15:00:00,6087.105,6099.858,6073.638,6099.610,116922210011275846001894236700
2025-07-21 10:30:00,6115.025,6148.680,6110.988,6137.634,72350653002886475900
2025-07-21 12:00:00,6138.143,6147.269,6123.930,6136.701,19142647001522953200
2025-07-21 13:30:00,6137.475,6144.584,6129.109,6142.976,1886935400
2025-07-21 15:00:00,6143.773,6162.440,6142.501,6161.309,145658840014198217002412946100
2025-07-22 10:30:00,6166.616,6180.439,6152.814,6160.905,71042685003231630200
2025-07-22 12:00:00,6161.271,6198.441,6160.331,6198.251,22183890001653536200
2025-07-22 13:30:00,6198.979,6215.406,6192.549,6209.270,3673661200
2025-07-22 15:00:00,6209.009,6213.407,6180.349,6213.407,237526620018430512002521361700
2025-07-23 10:30:00,6218.207,6240.403,6200.206,6222.520,87743058003266777000
2025-07-23 12:00:00,6222.416,6241.727,6215.839,6241.727,19370308002067653300
2025-07-23 13:30:00,6242.056,6256.152,6236.688,6247.497,2755125600
2025-07-23 15:00:00,6247.350,6247.350,6187.012,6196.758,170989990024343577002892639500
2025-07-24 10:30:00,6197.853,6245.467,6197.853,6233.266,80134103003525156700
2025-07-24 12:00:00,6233.440,6262.641,6233.403,6258.710,25249098002509671800
2025-07-24 13:30:00,6259.695,6275.635,6259.695,6275.550,2712022600
2025-07-24 15:00:00,6275.905,6293.598,6255.426,6293.598,226058790018716717003418125600
2025-07-25 10:30:00,6297.626,6311.169,6285.760,6296.702,76105760003362936800
2025-07-25 12:00:00,6297.088,6307.568,6276.416,6288.528,27800661001596747800
2025-07-25 13:30:00,6287.989,6297.478,6282.869,6295.430,1873931900
2025-07-25 15:00:00,6295.621,6305.428,6280.966,6299.591,157752740021896689002714077900
2025-07-28 10:30:00,6305.225,6325.108,6271.930,6321.531,72978633003076285100
2025-07-28 12:00:00,6321.281,6329.030,6293.772,6293.772,20585355001910513000
2025-07-28 13:30:00,6293.727,6321.213,6292.264,6318.287,1843288900
2025-07-28 15:00:00,6318.135,6325.371,6304.920,6323.420,156921850015032885002185833900
2025-07-29 10:30:00,6308.123,6314.608,6272.314,6296.103,57104745002807067000
2025-07-29 12:00:00,6296.548,6322.459,6287.839,6312.466,19939597001785391500
2025-07-29 13:30:00,6312.891,6324.122,6305.435,6311.196,1659808600
2025-07-29 15:00:00,6311.007,6356.150,6307.683,6356.133,174238350019130535002563624600
2025-07-30 10:30:00,6345.374,6366.666,6331.402,6356.176,61687556002970659700
2025-07-30 12:00:00,6356.504,6368.269,6350.530,6355.283,20160406001406222100
2025-07-30 13:30:00,6355.587,6359.473,6342.452,6345.656,1603146400
2025-07-30 15:00:00,6345.553,6353.093,6269.513,6314.687,256474610024141665002069104100
2025-07-31 10:30:00,6297.912,6322.065,6271.916,6274.378,64726795003276230600
2025-07-31 12:00:00,6274.168,6291.236,6261.468,6288.933,21542964001454945200
2025-07-31 13:30:00,6290.164,6295.431,6263.144,6263.713,2179482700
2025-07-31 15:00:00,6263.305,6273.417,6206.190,6226.343,186301420018773705003143404600
2025-08-01 10:30:00,6221.051,6253.658,6212.324,6249.828,51636248002194906400
2025-08-01 12:00:00,6250.049,6250.094,6206.407,6212.502,16397389001111842300
2025-08-01 13:30:00,6212.738,6215.418,6188.350,6188.350,1526718800
2025-08-01 15:00:00,6188.475,6220.504,6177.478,6213.201,142007380014920264002041787700
2025-08-04 10:30:00,6190.344,6223.246,6187.622,6216.114,46605462001949811500
2025-08-04 12:00:00,6216.587,6220.058,6207.010,6211.459,13637946001045102800
2025-08-04 13:30:00,6211.922,6230.140,6211.922,6229.661,1273610300
2025-08-04 15:00:00,6229.369,6261.962,6223.597,6261.731,108965350014855697001991059400
2025-08-05 10:30:00,6277.011,6298.645,6275.020,6281.103,48506853002432437300
2025-08-05 12:00:00,6281.336,6285.698,6272.506,6279.018,13360169001075908300
2025-08-05 13:30:00,6279.685,6292.149,6278.204,6287.245,1402473500
2025-08-05 15:00:00,6287.543,6303.236,6282.536,6303.236,117330390012251544001924686900
2025-08-06 10:30:00,6298.929,6322.557,6293.225,6309.625,44931758002232692600
2025-08-06 12:00:00,6309.913,6342.866,6305.723,6339.869,17234279001423758700
2025-08-06 13:30:00,6340.710,6340.867,6326.762,6326.849,1694946800
2025-08-06 15:00:00,6327.013,6357.590,6324.266,6357.377,163315500013150285002086578500
2025-08-07 10:30:00,6356.332,6366.214,6301.515,6301.515,46922842002833075700
2025-08-07 12:00:00,6301.413,6340.445,6299.493,6339.591,16255806001537467700
2025-08-07 13:30:00,6340.703,6346.430,6326.505,6327.288,1776979400
2025-08-07 15:00:00,6327.272,6345.451,6326.396,6337.542,130981740012872192001982215800
2025-08-08 10:30:00,6324.175,6332.679,6308.148,6327.975,51699312002313765100
2025-08-08 12:00:00,6328.365,6351.335,6327.563,6346.873,16888122001274048600
2025-08-08 13:30:00,6347.534,6350.503,6322.595,6323.584,1891339200
2025-08-08 15:00:00,6323.414,6335.082,6317.725,6323.500,147772170012640009002171133700
2025-08-11 10:30:00,6335.427,6384.734,6335.427,6367.053,50291829002511052000
2025-08-11 12:00:00,6367.237,6402.270,6363.278,6398.489,16781578001629106700
2025-08-11 13:30:00,6399.366,6404.833,6389.527,6393.014,1812513500
2025-08-11 15:00:00,6392.818,6401.421,6378.917,6391.760,128158240015082283002041096300
2025-08-12 10:30:00,6392.402,6401.011,6369.260,6383.422,45452535002597023600
2025-08-12 12:00:00,6383.393,6398.573,6360.109,6398.352,20703893001288629100
2025-08-12 13:30:00,6399.818,6411.442,6396.195,6404.104,1850475800
2025-08-12 15:00:00,6404.238,6418.159,6398.702,6418.159,123181420012266303002024976000
2025-08-13 10:30:00,6422.789,6459.601,6422.215,6444.584,53805151002792951900
2025-08-13 12:00:00,6444.862,6494.844,6444.862,6493.526,27742122002322489800
2025-08-13 13:30:00,6494.507,6505.326,6488.984,6490.951,2229925900
2025-08-13 15:00:00,6491.296,6514.456,6481.451,6508.098,164809610020952787002358772600
2025-08-14 10:30:00,6509.208,6514.232,6495.199,6513.874,61496796002848160100
2025-08-14 12:00:00,6513.978,6519.794,6480.852,6481.482,26386680001600567000
2025-08-14 13:30:00,6480.689,6480.689,6411.921,6434.614,3445158800
2025-08-14 15:00:00,6435.355,6476.474,6429.846,6429.846,186804150016406031002704438700
2025-08-15 10:30:00,6417.389,6516.511,6417.389,6501.923,66058352003433323100
2025-08-15 12:00:00,6501.281,6535.850,6498.569,6535.850,19595613002194784800
2025-08-15 13:30:00,6537.930,6568.136,6537.930,6564.008,3409121100
2025-08-15 15:00:00,6563.864,6570.499,6545.140,6568.570,221802500019907049002710368600
2025-08-18 10:30:00,6612.988,6651.146,6580.437,6651.094,95640433004287308300
2025-08-18 12:00:00,6651.372,6700.356,6647.626,6697.622,28730310002447836100
2025-08-18 13:30:00,6698.331,6709.781,6667.529,6673.463,3395781800
2025-08-18 15:00:00,6674.179,6686.128,6633.243,6668.173,225473040025723140002849778000
2025-08-19 10:30:00,6663.157,6700.811,6631.119,6664.392,77041877004584307300
2025-08-19 12:00:00,6664.329,6697.373,6664.214,6690.082,20477003001683377200
2025-08-19 13:30:00,6692.193,6707.114,6679.013,6683.048,2389030600
2025-08-19 15:00:00,6683.576,6683.600,6634.377,6655.310,240533750019754003002494586700
2025-08-20 10:30:00,6623.614,6662.154,6602.036,6652.587,70354378003155150400
2025-08-20 12:00:00,6652.885,6670.092,6598.551,6622.960,21986055002443082000
2025-08-20 13:30:00,6623.470,6639.402,6611.415,6639.402,1883689700
2025-08-20 15:00:00,6639.788,6728.069,6637.731,6728.069,183392450024999454003373555400
2025-08-21 10:30:00,6739.690,6767.323,6701.043,6735.022,78615112003458085900
2025-08-21 12:00:00,6735.431,6754.869,6718.551,6739.869,22175992001922912900
2025-08-21 13:30:00,6741.412,6756.149,6737.608,6745.058,1830255400
2025-08-21 15:00:00,6744.927,6747.441,6673.061,6704.166,175863360022469912002958027000
2025-08-22 10:30:00,6704.030,6754.640,6704.030,6740.779,62156774003336337500
2025-08-22 12:00:00,6741.065,6777.945,6741.065,6768.715,24461691002077528000
2025-08-22 13:30:00,6771.160,6790.327,6763.644,6776.423,2528074700
2025-08-22 15:00:00,6775.801,6823.363,6771.118,6822.847,250179020026763583003896446800
2025-08-25 10:30:00,6886.268,6944.851,6863.932,6939.948,106140767004463399100
2025-08-25 12:00:00,6939.959,6967.796,6894.292,6904.787,33400502003614950300
2025-08-25 13:30:00,6905.587,6908.184,6864.001,6873.992,3712574000
2025-08-25 15:00:00,6873.144,6960.121,6866.826,6951.895,227996740020567579003301118900
2025-08-26 10:30:00,6928.286,6980.780,6910.405,6956.543,83187298003995156400
2025-08-26 12:00:00,6956.853,6995.579,6946.063,6993.333,23970724002381789200
2025-08-26 13:30:00,6994.373,6995.595,6972.828,6985.292,2493488500
2025-08-26 15:00:00,6985.423,7008.963,6946.207,6964.065,212113950025986541003847208300
2025-08-27 10:30:00,6964.770,7030.430,6964.770,7012.943,81077410004068469400
2025-08-27 12:00:00,7011.782,7064.362,7005.440,7064.362,31364446002118776100
2025-08-27 13:30:00,7065.748,7074.630,7041.621,7053.752,2829569800
2025-08-27 15:00:00,7053.918,7054.699,6862.562,6862.562,369843850034872551005359323800
2025-08-28 10:30:00,6858.503,6925.327,6857.824,6924.443,86146663003613271200
2025-08-28 12:00:00,6924.246,6962.467,6860.624,6887.591,27139110003214407600
2025-08-28 13:30:00,6889.066,6901.686,6821.387,6823.129,3557184400
2025-08-28 15:00:00,6823.020,7011.160,6798.934,7011.160,307970230024368590003576176800
2025-08-29 10:30:00,7030.274,7067.387,6990.753,7056.516,97306369004102465200
2025-08-29 12:00:00,7056.530,7078.923,7019.345,7036.774,28750019002260774600
2025-08-29 13:30:00,7037.763,7064.586,7011.892,7021.041,2264711600
2025-08-29 15:00:00,7021.865,7051.786,7005.582,7043.942,192438860018395532003094049400
2025-09-01 10:30:00,7087.734,7105.157,7038.344,7060.568,103019872004225659200
2025-09-01 12:00:00,7060.022,7110.687,7052.752,7075.841,25327434002303679500
2025-09-01 13:30:00,7076.444,7095.051,7071.741,7094.816,2274481100
2025-09-01 15:00:00,7094.743,7110.365,7074.311,7110.288,207537580020431676002833737300
2025-09-02 10:30:00,7108.945,7108.945,6988.717,7036.039,89150450004454908800
2025-09-02 12:00:00,7035.770,7038.694,6929.256,6958.761,31956693003143798900
2025-09-02 13:30:00,6956.044,6978.113,6909.723,6928.317,3057457800
2025-09-02 15:00:00,6928.964,7013.234,6925.628,6961.689,217829080016850327002773450600
2025-09-03 10:30:00,6988.020,7003.268,6925.247,6933.529,66909294003161462400
2025-09-03 12:00:00,6931.994,6984.536,6888.292,6901.997,33380385002264451700
2025-09-03 13:30:00,6901.772,6918.589,6888.137,6900.054,2427403900
2025-09-03 15:00:00,6900.677,6936.141,6846.181,6868.462,253209780019400657003553877200
2025-09-04 10:30:00,6884.358,6906.692,6774.382,6780.347,73579460003537299700
2025-09-04 12:00:00,6780.133,6780.133,6703.251,6719.673,30940072001821917900
2025-09-04 13:30:00,6719.444,6773.190,6706.334,6732.822,3044211400
2025-09-04 15:00:00,6733.125,6742.376,6607.985,6698.447,224217720026986298003238000200
2025-09-05 10:30:00,6709.145,6784.753,6678.600,6782.676,66347716002911942600
