date,index_code,index_name,open,high,low,close,volume
2018-01-02,sh000001,上证指数,3314.031,3349.053,3314.031,3348.326,20227886000
2018-01-03,sh000001,上证指数,3347.743,3379.915,3345.289,3369.108,21383614900
2018-01-04,sh000001,上证指数,3371.0,3392.826,3365.295,3385.71,20695528800
2018-01-05,sh000001,上证指数,3386.464,3402.069,3380.245,3391.75,21306068100
2018-01-08,sh000001,上证指数,3391.553,3412.731,3384.559,3409.48,23616510600
2018-01-09,sh000001,上证指数,3406.112,3417.228,3403.587,3413.9,19148855100
2018-01-10,sh000001,上证指数,3414.113,3430.214,3398.842,3421.834,20909499700
2018-01-11,sh000001,上证指数,3415.585,3426.483,3405.639,3425.345,17381213300
2018-01-12,sh000001,上证指数,3423.879,3435.424,3417.98,3428.941,17406340400
2018-01-15,sh000001,上证指数,3428.951,3442.501,3402.312,3410.488,23200928300
2018-01-16,sh000001,上证指数,3403.469,3437.583,3401.961,3436.594,21147546800
2018-01-17,sh000001,上证指数,3438.576,3465.205,3430.511,3444.671,26104503000
2018-01-18,sh000001,上证指数,3449.881,3476.546,3448.789,3474.754,22003955500
2018-01-19,sh000001,上证指数,3481.62,3498.434,3474.292,3487.864,24753673300
2018-01-22,sh000001,上证指数,3476.994,3503.386,3475.673,3501.362,21748753400
2018-01-23,sh000001,上证指数,3504.344,3547.222,3504.344,3546.505,23870590400
2018-01-24,sh000001,上证指数,3553.479,3569.489,3527.112,3559.465,25295449600
2018-01-25,sh000001,上证指数,3555.168,3571.481,3528.035,3548.307,24341342200
2018-01-26,sh000001,上证指数,3535.493,3574.905,3534.195,3558.129,22269829500
2018-01-29,sh000001,上证指数,3563.64,3587.032,3510.269,3523.001,23602696500
2018-01-30,sh000001,上证指数,3511.501,3523.051,3484.656,3488.009,18636997500
2018-01-31,sh000001,上证指数,3470.509,3495.453,3454.726,3480.833,20725340300
2018-02-01,sh000001,上证指数,3478.67,3495.093,3424.419,3446.98,26050470700
2018-02-02,sh000001,上证指数,3419.225,3463.164,3388.86,3462.081,20812055100
2018-02-05,sh000001,上证指数,3411.67,3487.721,3406.241,3487.497,21767375400
2018-02-06,sh000001,上证指数,3418.01,3440.124,3364.216,3370.652,28055547700
2018-02-07,sh000001,上证指数,3412.744,3425.538,3304.007,3309.26,26093971400
2018-02-08,sh000001,上证指数,3281.046,3307.162,3225.712,3262.05,20126249900
2018-02-09,sh000001,上证指数,3172.851,3180.11,3062.743,3129.851,25638917600
2018-02-12,sh000001,上证指数,3128.371,3168.126,3113.605,3154.125,15331083100
2018-02-13,sh000001,上证指数,3176.107,3219.217,3176.107,3184.959,15152759700
2018-02-14,sh000001,上证指数,3188.248,3203.497,3171.384,3199.159,10032282700
2018-02-22,sh000001,上证指数,3237.569,3269.916,3234.115,3268.559,13873044500
2018-02-23,sh000001,上证指数,3275.429,3294.134,3258.488,3289.024,14579036800
2018-02-26,sh000001,上证指数,3307.295,3335.986,3281.615,3329.574,18856860200
2018-02-27,sh000001,上证指数,3328.672,3328.672,3284.629,3292.068,17421936800
2018-02-28,sh000001,上证指数,3264.059,3277.832,3239.844,3259.408,15104353600
2018-03-01,sh000001,上证指数,3235.089,3280.149,3228.585,3273.755,15909832000
2018-03-02,sh000001,上证指数,3248.446,3269.938,3242.267,3254.528,15086106300
2018-03-05,sh000001,上证指数,3255.871,3269.4,3236.717,3256.926,14483598800
2018-03-06,sh000001,上证指数,3266.487,3290.253,3243.654,3289.642,19535804600
2018-03-07,sh000001,上证指数,3288.865,3308.406,3264.764,3271.668,16866501900
2018-03-08,sh000001,上证指数,3268.347,3289.497,3261.552,3288.406,14982751900
2018-03-09,sh000001,上证指数,3291.426,3309.715,3283.559,3307.166,16842450900
2018-03-12,sh000001,上证指数,3319.209,3333.561,3313.555,3326.699,20653243600
2018-03-13,sh000001,上证指数,3324.122,3333.875,3307.376,3310.239,17711435300
2018-03-14,sh000001,上证指数,3298.666,3304.979,3287.356,3291.382,15749108500
2018-03-15,sh000001,上证指数,3277.514,3297.098,3273.201,3291.112,14857360600
2018-03-16,sh000001,上证指数,3290.209,3300.565,3269.283,3269.882,14120364700
2018-03-19,sh000001,上证指数,3264.928,3280.567,3251.047,3279.252,13795498000
2018-03-20,sh000001,上证指数,3257.219,3292.574,3252.433,3290.64,13988108100
2018-03-21,sh000001,上证指数,3299.731,3314.209,3268.878,3280.952,16839827700
2018-03-22,sh000001,上证指数,3281.265,3288.797,3242.762,3263.48,15043297700
2018-03-23,sh000001,上证指数,3172.772,3188.235,3110.664,3152.761,27553201300
2018-03-26,sh000001,上证指数,3117.319,3134.276,3091.458,3133.722,18636635000
2018-03-27,sh000001,上证指数,3164.798,3172.778,3143.57,3166.649,18907338300
2018-03-28,sh000001,上证指数,3130.571,3165.213,3117.534,3122.29,16350048800
2018-03-29,sh000001,上证指数,3127.263,3174.509,3098.247,3160.531,17031238400
2018-03-30,sh000001,上证指数,3161.786,3177.721,3152.889,3168.897,15464659600
2018-04-02,sh000001,上证指数,3169.779,3192.34,3159.986,3163.179,17772777700
2018-04-03,sh000001,上证指数,3130.013,3144.332,3119.132,3136.633,15221667400
2018-04-04,sh000001,上证指数,3147.049,3163.34,3128.867,3131.111,14697668200
2018-04-09,sh000001,上证指数,3125.442,3146.093,3110.303,3138.294,13960862100
2018-04-10,sh000001,上证指数,3144.257,3190.649,3139.081,3190.322,16820135900
2018-04-11,sh000001,上证指数,3197.372,3220.845,3191.587,3208.082,17586719700
2018-04-12,sh000001,上证指数,3203.278,3205.252,3177.049,3180.158,14823131300
2018-04-13,sh000001,上证指数,3192.042,3197.896,3155.506,3159.052,12755231000
2018-04-16,sh000001,上证指数,3152.888,3153.106,3096.1,3110.649,15441569500
2018-04-17,sh000001,上证指数,3112.975,3118.76,3064.028,3066.797,14722284600
2018-04-18,sh000001,上证指数,3091.91,3096.889,3041.625,3091.399,15929050300
2018-04-19,sh000001,上证指数,3094.274,3127.439,3090.287,3117.376,16005680500
2018-04-20,sh000001,上证指数,3105.462,3111.171,3065.921,3071.543,15514709100
