date,open,high,low,close,volume
2025-07-04 15:00:00,10540.877,10540.877,10497.368,10508.761,15584939941947574704
2025-07-07 10:30:00,10488.108,10501.306,10431.338,10451.297,46595399131889314125
2025-07-07 12:00:00,10451.608,10454.536,10427.937,10434.825,15339136391051306714
2025-07-07 13:30:00,10435.717,10443.832,10426.547,10441.804,1318681691
2025-07-07 15:00:00,10441.297,10461.423,10427.008,10435.506,111331124711261366101814670524
2025-07-08 10:30:00,10431.778,10523.057,10431.778,10513.632,42226197712187670494
2025-07-08 12:00:00,10513.530,10580.200,10505.901,10568.246,16979323092008453993
2025-07-08 13:30:00,10570.674,10582.006,10560.387,10564.432,2155179376
2025-07-08 15:00:00,10564.620,10593.837,10560.685,10588.395,151411764316119932002217498417
2025-07-09 10:30:00,10592.508,10656.583,10592.431,10652.782,55776796652321410897
2025-07-09 12:00:00,10652.350,10654.354,10604.617,10626.875,18235679601987089370
2025-07-09 13:30:00,10625.419,10639.700,10623.876,10631.172,1492293044
2025-07-09 15:00:00,10631.253,10632.534,10557.813,10581.798,115750630316427399732398776369
2025-07-10 10:30:00,10593.703,10609.457,10564.727,10600.418,54261579683045353920
2025-07-10 12:00:00,10601.164,10606.159,10562.160,10583.794,23155663821464378791
2025-07-10 13:30:00,10585.288,10620.042,10582.952,10617.159,1710498447
2025-07-10 15:00:00,10617.728,10667.412,10615.129,10631.126,155383390919658651732191054937
2025-07-11 10:30:00,10637.449,10709.878,10610.802,10695.819,58810015093476457243
2025-07-11 12:00:00,10695.330,10731.659,10668.355,10731.187,22316952892059164928
2025-07-11 13:30:00,10735.506,10757.240,10717.081,10728.246,3057123990
2025-07-11 15:00:00,10728.301,10745.298,10676.658,10696.097,196185783815549347782668421234
2025-07-14 10:30:00,10705.439,10715.074,10670.497,10686.916,64961635772386864244
2025-07-14 12:00:00,10686.909,10697.871,10670.544,10671.476,16756237431470475966
2025-07-14 13:30:00,10672.244,10688.395,10663.869,10688.351,1559186280
2025-07-14 15:00:00,10689.416,10709.029,10684.451,10684.517,102846135212046816532033673215
2025-07-15 10:30:00,10700.372,10784.968,10700.372,10732.377,62397789643711171994
2025-07-15 12:00:00,10733.295,10753.194,10651.154,10657.218,18834624022122644866
2025-07-15 13:30:00,10656.673,10702.654,10656.184,10692.010,1616263799
2025-07-15 15:00:00,10693.416,10748.096,10691.996,10744.561,136005583114900015662203569516
2025-07-16 10:30:00,10749.714,10804.177,10732.434,10760.339,59006300362661942229
2025-07-16 12:00:00,10759.700,10763.586,10735.536,10755.854,18552708001066014791
2025-07-16 13:30:00,10756.418,10756.856,10735.176,10745.076,1458876992
2025-07-16 15:00:00,10745.383,10750.253,10697.402,10720.806,163659517713206212461909265016
2025-07-17 10:30:00,10718.854,10810.205,10718.854,10788.459,46770645702576726243
2025-07-17 12:00:00,10789.551,10815.571,10784.829,10813.751,17302657751371833553
2025-07-17 13:30:00,10815.803,10846.207,10815.803,10845.316,2095035319
2025-07-17 15:00:00,10844.981,10873.619,10840.306,10873.619,186883647615890166442365417658
2025-07-18 10:30:00,10902.724,10946.404,10900.013,10930.140,61428315512767887303
2025-07-18 12:00:00,10929.958,10936.950,10903.347,10905.910,18255468671392603417
2025-07-18 13:30:00,10906.110,10906.110,10867.387,10890.358,1791681535
2025-07-18 15:00:00,10890.740,10914.189,10865.887,10913.839,142023713312762126832147085259
2025-07-21 10:30:00,10937.600,10979.803,10923.388,10953.888,73324174953142607811
2025-07-21 12:00:00,10953.730,10976.576,10922.523,10945.763,19787990521699960465
2025-07-21 13:30:00,10947.442,10959.419,10931.922,10954.350,1871948577
2025-07-21 15:00:00,10954.406,11008.477,10954.207,11007.487,201711410616897392782638201697
2025-07-22 10:30:00,11004.009,11044.177,10970.218,10984.891,65835900393455474221
2025-07-22 12:00:00,10983.878,11069.568,10981.336,11069.566,21907014991858380735
2025-07-22 13:30:00,11071.301,11092.238,11056.514,11081.517,3225207038
2025-07-22 15:00:00,11081.619,11099.831,11027.897,11099.831,237017793720017750882827948631
2025-07-23 10:30:00,11101.322,11138.378,11077.096,11097.570,78322600433180644700
2025-07-23 12:00:00,11096.599,11134.072,11083.042,11134.072,19585578331990946359
2025-07-23 13:30:00,11135.076,11158.223,11127.004,11141.730,2808679831
2025-07-23 15:00:00,11140.881,11140.881,11042.197,11059.037,167983217725034172982966262810
2025-07-24 10:30:00,11069.604,11114.843,11069.604,11100.297,68135832612922214790
2025-07-24 12:00:00,11099.686,11134.043,11093.744,11130.719,24874112652072391630
2025-07-24 13:30:00,11134.274,11165.635,11132.833,11165.635,2818671453
2025-07-24 15:00:00,11166.180,11193.059,11125.228,11193.059,230971682317834108353183464927
2025-07-25 10:30:00,11196.203,11210.907,11167.757,11183.970,71979345493305370996
2025-07-25 12:00:00,11185.165,11200.697,11143.527,11160.296,24850339471704380766
2025-07-25 13:30:00,11159.783,11172.211,11150.178,11165.642,1895012594
2025-07-25 15:00:00,11165.515,11180.829,11139.316,11168.141,167299031920381850182689366202
2025-07-28 10:30:00,11176.393,11213.816,11114.925,11211.227,71168024273099824724
2025-07-28 12:00:00,11211.507,11221.968,11150.410,11150.410,21429137441974674215
2025-07-28 13:30:00,11148.653,11193.575,11146.714,11191.642,1879571931
2025-07-28 15:00:00,11191.776,11226.182,11184.348,11217.581,169852563715135377102254716066
2025-07-29 10:30:00,11199.626,11233.451,11136.276,11184.285,61858731862960370846
2025-07-29 12:00:00,11184.909,11235.043,11168.159,11212.885,20798461071593665940
2025-07-29 13:30:00,11213.401,11233.882,11203.930,11214.553,1814605592
2025-07-29 15:00:00,11213.892,11289.420,11207.860,11289.406,176784353818808332502526473527
2025-07-30 10:30:00,11262.976,11284.378,11221.924,11270.574,60132775982994062443
2025-07-30 12:00:00,11271.760,11307.620,11271.760,11283.175,22363623651434388623
2025-07-30 13:30:00,11284.111,11286.917,11252.117,11256.199,1816719871
2025-07-30 15:00:00,11256.446,11274.110,11126.999,11203.029,272545794426259267802211714600
2025-07-31 10:30:00,11208.460,11223.641,11117.027,11124.718,66976101363546352431
2025-07-31 12:00:00,11124.326,11153.328,11099.010,11152.769,26520360521654729485
2025-07-31 13:30:00,11154.841,11167.727,11086.177,11086.218,2492370790
2025-07-31 15:00:00,11086.597,11101.539,10976.213,11009.769,201022823021271265453401538125
2025-08-01 10:30:00,11001.255,11068.310,10989.644,11060.488,59811257672480697007
2025-08-01 12:00:00,11060.432,11061.448,10984.955,10992.872,19017877291314441355
2025-08-01 13:30:00,10992.436,10997.168,10936.877,10937.514,1708967028
2025-08-01 15:00:00,10937.269,11003.628,10919.889,10991.321,164759082818373733132237122633
2025-08-04 10:30:00,10932.621,10980.547,10928.487,10960.733,53370004342192270696
2025-08-04 12:00:00,10961.974,10976.646,10948.862,10960.749,16413998761162281047
2025-08-04 13:30:00,10962.452,10985.035,10962.452,10983.951,1510428323
2025-08-04 15:00:00,10983.851,11041.560,10973.102,11041.560,122611131516139346352369214468
2025-08-05 10:30:00,11078.583,11094.197,11056.433,11056.895,53282635892666741426
2025-08-05 12:00:00,11056.388,11064.500,11041.475,11056.689,15540593821242380349
2025-08-05 13:30:00,11059.048,11097.740,11059.048,11087.984,1630158336
2025-08-05 15:00:00,11088.854,11106.957,11080.713,11106.957,135517080413466098472238609149
2025-08-06 10:30:00,11091.834,11137.421,11086.717,11109.243,51103324042604717496
2025-08-06 12:00:00,11109.647,11161.385,11102.302,11158.422,19941854821662752383
2025-08-06 13:30:00,11160.025,11160.025,11133.891,11134.615,1827456975
2025-08-06 15:00:00,11134.724,11177.878,11128.322,11177.782,175272418714734165462264816387
2025-08-07 10:30:00,11189.489,11229.586,11092.469,11092.469,58033925473294589616
2025-08-07 12:00:00,11092.710,11163.374,11089.579,11163.364,18066377371637875430
2025-08-07 13:30:00,11166.746,11180.668,11147.500,11148.142,1916955218
2025-08-07 15:00:00,11148.416,11178.006,11139.973,11157.941,132909694513847620692178097917
2025-08-08 10:30:00,11136.343,11159.215,11108.464,11145.305,54059469992470698176
2025-08-08 12:00:00,11145.196,11178.315,11142.092,11173.865,16526902631265406183
2025-08-08 13:30:00,11175.057,11184.551,11136.428,11137.945,1902272809
2025-08-08 15:00:00,11138.056,11154.792,11122.482,11128.672,159608126113153156712232643062
2025-08-11 10:30:00,11159.027,11264.333,11159.027,11235.977,61266803982831142661
2025-08-11 12:00:00,11235.004,11295.591,11229.928,11293.250,18201560901785772549
2025-08-11 13:30:00,11295.897,11309.184,11281.082,11288.895,2070186668
2025-08-11 15:00:00,11288.426,11311.881,11271.073,11291.426,158449477020571673402287682948
2025-08-12 10:30:00,11292.458,11342.389,11255.483,11311.934,56635695353128912362
2025-08-12 12:00:00,11310.608,11330.342,11265.594,11330.342,23805086441419128108
2025-08-12 13:30:00,11332.802,11337.147,11316.995,11323.831,1983750838
2025-08-12 15:00:00,11323.890,11351.632,11317.711,11351.632,150201365113889147892297574296
2025-08-13 10:30:00,11371.081,11435.811,11362.900,11425.621,61065455533158449555
2025-08-13 12:00:00,11425.567,11521.192,11425.567,11518.828,28455922952267813203
2025-08-13 13:30:00,11522.186,11558.593,11518.796,11522.514,2566890243
2025-08-13 15:00:00,11522.145,11551.365,11494.682,11551.365,182634521723733618062733083583
2025-08-14 10:30:00,11557.004,11592.955,11536.861,11592.504,70811514093291681575
2025-08-14 12:00:00,11592.876,11607.407,11529.180,11533.872,29471515081826810252
2025-08-14 13:30:00,11532.368,11532.368,11417.927,11457.219,3753901302
2025-08-14 15:00:00,11457.304,11536.792,11451.435,11451.435,206444557820627447593122461086
2025-08-15 10:30:00,11419.282,11551.418,11419.282,11508.407,63810421653440047680
2025-08-15 12:00:00,11507.524,11587.383,11501.591,11587.383,21267999442205437918
2025-08-15 13:30:00,11595.385,11647.392,11594.777,11628.127,3654416588
2025-08-15 15:00:00,11627.166,11641.049,11589.216,11634.668,250526017123086994183101279827
2025-08-18 10:30:00,11690.938,11802.014,11642.590,11797.246,99345488315134136392
2025-08-18 12:00:00,11796.969,11897.449,11796.213,11896.375,32402212792600716300
